"","Charges"
"28158","TRANSPORT LEON CO CASE #2012CF03370"
"28159","HOLD AND RETURN TO DOC"
"28160","ATTEMPTED MURDER - SECOND DEGREE"
"28161","POSSESSION OF FIREARM BY CONVICTED"
"28162","FELON"
"28163","SHOOTING INTO OR WITHIN BUILDING"
"28164","TRANSPORT LEON CO CASE #2012CF03370"
"28165","HOLD AND RETURN TO DOC"
"28166","OUT-OF-COUNTY WARRANT / TAYLOR"
"28167","COUNTY SO / GRAND THEFT /"
"28168","CASE#18S0060841"
"28169","SEX ASSAULT BY 18 YOA OLDER SEX"
"28170","BATTERY VICT UNDER 12 YOA"
"28171","KIDNAP-FALSE IMPRISONMENT CHILD AND"
"28172","COMMIT SEXUAL BATTERY"
"28173","KIDNAP-FALSE IMPRISONMENT ADULT"
"28174","TRESPASSING STRUCTURE OR CONVEYANCE"
"28175","DAMAGE PROP-CRIM MISCH OVER 200"
"28176","DOLLARS UNDER 1000 DOLLARS"
"28177","TRESPASSING STRUCTURE OR CONVEYANCE"
"28178","HOLD DOC FRANKLIN CI"
"28179","VOP/POSSESSION OF COCAINE WITH INTENT"
"28180","TO SELL"
"28181","HIT AND RUN LEAVE SCENE OF CRASH"
"28182","INVOLVE DAMAGE TO PROP-MORE THAN $50"
"28183","DAMAGE"
"28184","FAVOR TRANSPORT/HOLD PINELLAS COUNTY"
"28185","HOLD AND RETURN DOC/ NWFRC MAIN UNIT"
"28186","MARIJUANA-POSSESS NOT MORE THAN 20"
"28187","GRAMS"
"28188","DOMV/BURGL WITH ASSAULT OR BATTERY"
"28189","VOP/DRIVING UNDER THE INFLUENCE WITH"
"28190","BREATH ALCOHOL OF .15 OR HIGHER"
"28191","TRANSPORT FAVOR/HOLD CHARLOTTE CO"
"28192","SO/ CASE# 16-882 CF"
"28193","HOLD AND RETURN /ACI EAST UNIT/ DC"
"28194","#804417"
"28195","FTA/POSSESSION OF COCAINE"
"28196","FTA/POSSESSION OF PARAPHERNALIA"
"28197","FTA/NARCOTIC EQUIP-POSSESS AND OR USE"
"28198","DOC HOLD/ GADSEN RE-ENTRY CI **NO"
"28199","BOND**"
"28200","COURT APPEARANCE LEON COUNTY CASE"
"28201","16CF02876"
"28202","AGGRAV ASSAULT  W DEADLY WEAPON"
"28203","WITHOUT INTENT TO KILL"
"28204","POSSESSION OF WEAPON OR AMMO BY"
"28205","CONVICTED FLORIDA FELON"
"28206","KIDNAP INFLICT BODILY HARM OR"
"28207","TERRORIZE VICT OR OTHER"
"28208","HOLD FOR MIAMI DADE"
"28209","CO/PD/CASE#F15006223/2CT SEX BAT ON"
"28210","MINOR 2CT ENGAGE/CHLD FAM SE L&L CHLD"
"28211","12/DEF 18 2CT L&L MOL CHLD 12-16 3CT"
"28212","CHLD AB/AGG/GRT/HAR 5CT VOP NO BOND"
"28213","BATTERY ON OFFICER FIREFIGHTER EMT ETC"
"28214","DAMAGE PROP-CRIM MISCH $1000 OR MORE"
"28215","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"28216","OBSTRUCTING JUSTICE"
"28217","INFLUENCE/INTIMIDATE/HINDER LEO"
"28218","DUTIES"
"28219","DAMAGE PROP-CRIM MISCH $1000 OR MORE"
"28220","VOP/SALE OF SUBSTANCE IN LIEU OF"
"28221","CONTROLLED SUBSTANCE"
"28222","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"28223","JUSTICE/MICHIGAN DOC LANSING"
"28224","TETHER/CASE #P132700"
"28225","FAVOR TRANSPORT/ HILLSBOROUGH"
"28226","COUNTY SO/ CASE #2016CF008368/ WRIT"
"28227","OF HABEAS CORPUS AD PROSEQUENDUM"
"28228","FAVOR HOLD/ CALHOUN CI DC #R63527"
"28229","DOMV/BATTERY TOUCH OR STRIKE"
"28230","VOP/DRIVING UNDER THE INFLUENCE WITH"
"28231","BREATH ALCOHOL OF .15 OR HIGHER"
"28232","VOP/MOVING TRAFFIC VIOL OPERATE"
"28233","MOTOR VEHICLE WO VALID LICENSE"
"28234","POSSESSION OF CONTROLLED SUBSTANCE"
"28235","POSSESSION OF MORE THAN 20 GRAMS"
"28236","CANNABIS"
"28237","POSSESSION OF PARAPHERNALIA"
"28238","VIOLATION OF DOMESTIC VIOLENCE"
"28239","INJUNCTION"
"28240","VOP/FTA/AGGRAVATED ASSAULT WITH"
"28241","DEADLY WEAPON"
"28242","DAMAGE PROP-CRIM MISCH OVER 200"
"28243","DOLLARS UNDER 1000 DOLLARS"
"28244","GRAND THEFT IS $300 OR MORE BUT LESS"
"28245","THAN $5000"
"28246","ROBBERY WITH FIREARM"
"28247","WEAPON OFFENSE USE DISPLAY ETC"
"28248","FIREARM DURING FELONY"
"28249","POSSESSION OF WEAPON OR AMMO BY"
"28250","FLORIDA DELINQUENT ADULT FELONY"
"28251","HOLD FOR HILLSBOROUGH COUNTY SHERIFF"
"28252","OFFICE/CASE#22232449/FTA-PETIT THEFT"
"28253","FIRST DEGREE NO BOND"
"28254","NARCOTIC EQUIP-POSSESS AND OR USE"
"28255","VOP/PASSING WORTHLESS BANKCHECK"
"28256","VOP/DEALING IN STOLEN PROPERTY"
"28257","VOP/DEFRAUDING A PAWNBROKER"
"28258","FTA/DRIVING WHILE LICENSE SUSPENDED"
"28259","OR REVOKED"
"28260","HOLD FOR CHATHAM CO SO"
"28261","GEORGIA/CASE#CR140966J/VOP/CRIMINAL"
"28262","DAMAGE 2ND DEGREE/NO BOND"
"28263","PUBLIC ORDER CRIMES USE OF FALSE ID"
"28264","ADVERSELY AFFECTS ANOTHER"
"28265","FRAUD-IMPERSON FALSE ID GIVEN TO LEO"
"28266","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"28267","MARIJUANA-POSSESS POSSESS MARIJUANA"
"28268","OVER 20 GRAMS"
"28269","NARCOTIC EQUIP-POSSESS AND OR USE"
"28270","TRANSPORT FAVOR FOR HILLSBOROUGH"
"28271","CO/HOLD FOR HILLSBOROUGH CO"
"28272","HOLD FOR DOC/ WAKULLA CI"
"28273","TRANSPORT FAVOR/ HOLD HILLSBOROUGH"
"28274","CO SO/ CASE#2015-CF-009018 & 2016-CF-"
"28275","004818/ WRIT OF HABEAS CORPUS AD"
"28276","PROSEQUENDUM"
"28277","HOLD AND RETURN TO DOC/ LIBERTY CI/"
"28278","#T89130"
"28279","VOP/NONMOVING TRAFFIC VIOL DRIVE"
"28280","WHILE LIC SUSP 2ND OFF"
"28281","OUT-OF-COUNTY WARRANT/ POLK CO SO/"
"28282","CASE #CT18004558LD/ FTA/ NO MOTOR VEH"
"28283","REG"
"28284","SEX OFFENDER VIOLATIONS FAIL TO COMPLY"
"28285","WITH REGISTRATION LAW"
"28286","VIOLATION OF PROBATION OR COMMUNITY"
"28287","CONTROL/POSSESSION OF COCAINE/CASE"
"28288","#1700085"
"28289","VIOLATION OF PROBATION OR COMMUNITY"
"28290","CONTROL/POSSESSION OF CONTROLLED"
"28291","SUBS/CASE #1700085"
"28292","VIOLATION OF PROBATION OR COMMUNITY"
"28293","CONTROL/MARIJUANA SALE/CASE #1700085"
"28294","BURGL DWELLING STRUCTURE OR"
"28295","CONVEYANCE ARMED"
"28296","PETIT THEFT 1ST OFF"
"28297","GRAND THEFT OF  MOTOR VEHICLE"
"28298","GRAND THEFT OF FIREARM"
"28299","BURGL OF STRUCTURE CONVEYANCE"
"28300","UNARMED WO PERS INSIDE"
"28301","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"28302","JUSTICE / CORYELL COUNTY SO/ TEXAS /"
"28303","#20609"
"28304","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"28305","JUSTICE/ COLQUITT CO SO/ 17CR0079/ POSS"
"28306","METHAMPHETAMINE"
"28307","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28308","SUSP 2ND OFF"
"28309","POSSESSION OF MORE THAN 20 GRAMS"
"28310","CANNABIS"
"28311","POSSESSION OF FIREARM BY CONVICTED"
"28312","FELON"
"28313","POSSESSION OF CANNABIS"
"28314","POSSESSION OF PARAPHERNALIA"
"28315","GRAND THEFT OF  MOTOR VEHICLE"
"28316","VOP/DRIVING UNDER THE INFLUENCE"
"28317","DRUGS-POSSESS POSSESS"
"28318","METHAMPHETAMINE"
"28319","DRUGS POSSESS NEW LEGEND DRUG WO"
"28320","PRESCRIPTION"
"28321","MARIJUANA-POSSESS NOT MORE THAN 20"
"28322","GRAMS"
"28323","NARCOTIC EQUIP-POSSESS AND OR USE"
"28324","FRAUD-FALSE STATEMENT FILE FALSE CLAIM"
"28325","FOR PAYMENT"
"28326","FTA/FRAUDULENT USE OF CREDIT CARD-"
"28327","MORE THAN $100 PROPERTY WITHIN SIX"
"28328","MONTHS"
"28329","DUI ALCOHOL OR DRUGS"
"28330","DUI AND DAMAGE PROPERTY OR PERSON OF"
"28331","ANOTHER"
"28332","REFUSE TO SUBMIT TO DUI TEST"
"28333","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"28334","HIT AND RUN ACC-UNATTENDED VEH OR"
"28335","PROP WO LEAVING ID"
"28336","OUT-OF-COUNTY WARRANT//HOLD FOR"
"28337","WAKULLA COUNTY SO/14000326CTA/NO"
"28338","VALID DL/"
"28339","OUT-OF-COUNTY WARRANT/HOLD FOR"
"28340","WAKULLA COUNTY SO//BURGL STRUCTURE"
"28341","CONVEYANCE UNARMED W PERSON"
"28342","INSIDE//WSCO180FF000690"
"28343","OUT-OF-COUNTY WARRANT/HOLD FOR"
"28344","WAKULLA COUNTY SHERIFF OFFICE//LARC"
"28345","300 OR MORE//WCSO180FF00690"
"28346","POSSESSION OF AMMUNITION BY"
"28347","DELINQUENT"
"28348","POSSESSION OF COCAINE"
"28349","POSSESSION OF CANNABIS"
"28350","POSSESSION OF PARAPHERNALIA"
"28351","DRIVING WHILE LICENSE SUSPENDED OR"
"28352","REVOKED"
"28353","FTA/DRIVING WHILE LICENSE SUSPENDED"
"28354","OR REVOKED"
"28355","FTA/FAILURE TO REGISTER MOTOR VEHICLE"
"28356","FTA/RESISTING OFFICER WITHOUT"
"28357","VIOLENCE"
"28358","MARIJUANA-POSSESS NOT MORE THAN 20"
"28359","GRAMS"
"28360","NARCOTIC EQUIP-POSSESS AND OR USE"
"28361","STOLEN PROP-DEAL IN"
"28362","FTA/PETIT THEFT 1ST OFF"
"28363","FTA/PETIT THEFT"
"28364","GRAND THEFT IS $300 OR MORE BUT LESS"
"28365","THAN $5000"
"28366","CRIMES AGAINST PERSON RESIST PROP"
"28367","RECOVERY RETAIL MERCHANT OR FARMER"
"28368","PETIT THEFT 1ST OFF"
"28369","PETIT THEFT 1ST DEGREE PROPERTY 100 TO"
"28370","UND 300 DOLS"
"28371","TRESPASSING FAIL TO LEAVE PROPERTY"
"28372","UPON ORDER BY OWNER"
"28373","DUI ALCOHOL OR DRUGS"
"28374","DUI AND DAMAGE PROPERTY OR PERSON OF"
"28375","ANOTHER"
"28376","DOMV/AGGRAV BATTER - COMMIT"
"28377","AGGRAVATED BATTERY"
"28378","PUBLIC ORDER CRIMES OBSTRUCTION OF"
"28379","PUBLIC STREETS WO PERMIT"
"28380","DUI AND DAMAGE PROPERTY OR PERSON OF"
"28381","ANOTHER"
"28382","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28383","SUSP 1ST OFF"
"28384","DUI ALCOHOL OR DRUGS"
"28385","NARCOTIC EQUIP-POSSESS AND OR USE"
"28386","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28387","SUSP HABITUTAL"
"28388","CONTEMPT OF COURT VIOLATION"
"28389","INJUNCTION PROTECTION DOMESTIC"
"28390","VIOLENCE"
"28391","FTA/FELONY BATTERY"
"28392","EVIDENCE-DESTROYING TAMPER WITH OR"
"28393","FABRICATE PHYSICAL"
"28394","FAIL TO REG AS CAREER OFF FAIL TO REG"
"28395","OR PROVIDE INFO"
"28396","VOP/FTA/POSSESSION OF"
"28397","METHAMPHETAMINE"
"28398","GADSDEN CO SO/CASE#17-132CF/COCAINE"
"28399","POSS/OUT-OF-COUNTY WARRANT"
"28400","DRIVING UNDER THE INFLUENCE"
"28401","TRESPASSING FAIL TO LEAVE PROPERTY"
"28402","UPON ORDER BY OWNER"
"28403","VOP/ORGANIZED SCHEME TO DEFRAUD"
"28404","(LESS THAN $20K)"
"28405","VOP/POSSESSION OF CONTROLLED"
"28406","SUBSTANCE"
"28407","GADSDEN CO SO/WRIT/2010DR998/OUT-OF-"
"28408","COUNTY WARRANT"
"28409","GADSDEN CO SO/WRIT/2013DR697/OUT-OF-"
"28410","COUNTY WARRANT"
"28411","GADSDEN CO SO/17-408CF/BURGLARY OF"
"28412","STRUCTURE/THEFT FROM BUILDING/OUT-"
"28413","OF-COUNTY WARRANT"
"28414","WRIT=WHS $700 OR 45 DAYS LCJ"
"28415","DOR/RUFF/COOPER"
"28416","POSSESSION OF CONTROLLED SUBSTANCE"
"28417","WITH INTENT TO SELL OR DELIVER"
"28418","POSSESSION OF CANNABIS"
"28419","POSSESSION OF PARAPHERNALIA"
"28420","NARCOTIC EQUIP-POSSESS AND OR USE"
"28421","VIOLATION OF PROBATION OR COMMUNITY"
"28422","CONTROL/VOP/JACKSON COUNTY(1400427)"
"28423","POSS OF METH/ CRIMINAL MISCHIEF"
"28424","DRUGS-POSSESS POSSESS"
"28425","METHAMPHETAMINE"
"28426","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"28427","WHILE LICE SUSPENDED REVOKED"
"28428","NONMOVING TRAFFIC VIOL ATTACH"
"28429","REGISTRATION LICENSE PLATE NOT"
"28430","ASSIGNED"
"28431","NARCOTIC EQUIP-POSSESS AND OR USE"
"28432","POSSESSION OF WEAPON OR AMMO BY"
"28433","CONVICTED FLORIDA FELON"
"28434","POSSESS COUNTERFEITED DRIVERS LICENSE"
"28435","OR ID CARD"
"28436","VOP/CRIMINAL MISCHIEF(OVER $200 UNDER"
"28437","$1000 DAMAGES)"
"28438","HOLD FAVOR(BROWARD CO SO)"
"28439","TRANSPORTED TO LEON CO. PER COURT"
"28440","ORDER CASE NO 2018CF2494A"
"28441","HOLD FOR GADSDEN COUNTY JAIL"
"28442","VOP/GADSDEN CO SO/CASE#1700057/CHILD"
"28443","NEGLECT/COCAINE POSSESSION/VIOLATION"
"28444","OF PROBATION OR COMMUNITY CONTROL"
"28445","POSSESSION OF CONTRABAND AT COUNTY"
"28446","DETENTION FACILITY"
"28447","UNLAWFUL POSSESSION OF THE PERSONAL"
"28448","IDENTIFICATION INFORMATION OF"
"28449","ANOTHER PERSON"
"28450","POSSESSION OF PARAPHERNALIA"
"28451","TRANSPORTED TO LEON CO. PER COURT"
"28452","ORDER CASE NO 2018CF2494A"
"28453","HOLD FOR GADSDEN COUNTY JAIL"
"28454","VOP/GADSDEN CO SO/CASE#1700057/CHILD"
"28455","NEGLECT/COCAINE POSSESSION/VIOLATION"
"28456","OF PROBATION OR COMMUNITY CONTROL"
"28457","POSSESSION OF CONTRABAND AT COUNTY"
"28458","DETENTION FACILITY"
"28459","UNLAWFUL POSSESSION OF THE PERSONAL"
"28460","IDENTIFICATION INFORMATION OF"
"28461","ANOTHER PERSON"
"28462","POSSESSION OF PARAPHERNALIA"
"28463","VOP/FTA/POSSESSION OF CONTROLLED"
"28464","SUBSTANCE"
"28465","FTA/CRUELTY TO ANIMAL"
"28466","VOP/FTA/POSSESSION OF MDMA"
"28467","PETIT THEFT THIRD OR SUBSQ OFF"
"28468","VOP/FELONY THEFT"
"28469","OVERNIGHT HOLD(BROWARD CO SO)"
"28470","ATTEMPTED/HOMICIDE-WILFUL KILL"
"28471","MURDER NOT PREMEDITATED NO FELONY"
"28472","OFFENSE"
"28473","BURGL WITH ASSAULT OR BATTERY"
"28474","ROBBERY WITH FIREARM"
"28475","AGGRAV BATTERY PERSON USES A DEADLY"
"28476","WEAPON"
"28477","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28478","SUSP HABITUTAL"
"28479","INDECENT EXPOSURE IN PUBLIC"
"28480","FTA/DRIVING WHILE LICENSE SUSPENDED"
"28481","OR REVOKED"
"28482","BURGL UNOCCUPIED DWELLING UNARMED"
"28483","BURGLARY UNOCCUPIED CONVEYANCE"
"28484","UNARMED"
"28485","PETIT THEFT 1ST OFF"
"28486","FRAUD IMPERSON KNOW INTENT UNLAW"
"28487","POSSES 4 OR MORE IDENT"
"28488","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"28489","WITHOUT PRESCRIPTION"
"28490","NARCOTIC EQUIP-POSSESS AND OR USE"
"28491","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"28492","PERSON UNDER 18 IN VEHICLE"
"28493","OVERNIGHT HOLD(BROWARD SO CO)"
"28494","PETIT THEFT 1ST DEGREE PROPERTY 100 TO"
"28495","UND 300 DOLS"
"28496","ROBBERY BY SUDDEN SNATCHING"
"28497","VOP/DRIVING UNDER THE INFLUENCE"
"28498","SUBSEQUENT CONVICTIONS"
"28499","VOP/NO VALID DRIVER'S LICENSE"
"28500","OUT-OF-COUNTY WARRANT/OKALOOSA"
"28501","CO/CASE#168744/FRAUD-SWINDLE LARCENY"
"28502","OVER $300 UNDER $2000"
"28503","OUT-OF-COUNTY WARRANT/OKALOOSA"
"28504","CO/CASE#168744/FRAUD-UTTER FORGED"
"28505","INSTRUMENT"
"28506","BURGLARY OF STRUCTURE"
"28507","CRIMINAL MISCHIEF (UNDER $200 DAMAGES)"
"28508","BURGLARY OF CONVEYANCE"
"28509","GRAND THEFT"
"28510","FTA/FAILURE TO COMPLY WITH SEXUAL"
"28511","PREDATOR REQUIREMENTS"
"28512","CRIMINAL USE OF PERSONAL"
"28513","IDENTIFICATION INFORMATION"
"28514","OUT-OF-COUNTY WARRANT// SANTA ROSA"
"28515","CO. SO.// CASE # 16006298// GRAND THEFT."
"28516","FRAUD-UTTER FALS BANK BILL"
"28517","BATTERY BY INMATE"
"28518","OUT-OF-COUNTY WARRANT/OKALOOSA"
"28519","CO/CASE#168744/FRAUD-SWINDLE LARCENY"
"28520","OVER $300 UNDER $2000"
"28521","OUT-OF-COUNTY WARRANT/OKALOOSA"
"28522","CO/CASE#168744/FRAUD-UTTER FORGED"
"28523","INSTRUMENT"
"28524","BURGLARY OF STRUCTURE"
"28525","CRIMINAL MISCHIEF (UNDER $200 DAMAGES)"
"28526","BURGLARY OF CONVEYANCE"
"28527","GRAND THEFT"
"28528","FTA/FAILURE TO COMPLY WITH SEXUAL"
"28529","PREDATOR REQUIREMENTS"
"28530","CRIMINAL USE OF PERSONAL"
"28531","IDENTIFICATION INFORMATION"
"28532","OUT-OF-COUNTY WARRANT// SANTA ROSA"
"28533","CO. SO.// CASE # 16006298// GRAND THEFT."
"28534","FRAUD-UTTER FALS BANK BILL"
"28535","BATTERY BY INMATE"
"28536","DOMV/BATTERY TOUCH OR STRIKE"
"28537","DRUGS-POSSESS POSSESS"
"28538","METHAMPHETAMINE"
"28539","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"28540","WITHOUT PRESCRIPTION"
"28541","NARCOTIC EQUIP-POSSESS AND OR USE"
"28542","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28543","SUSP 2ND OFF"
"28544","FRAUD-IMPERSON ATTEMPT TO USE ID OF"
"28545","ANOTHER PERSON WO CONSENT"
"28546","FRAUD-ILLEG USE CREDIT CARDS USE MORE"
"28547","2 TIMES 6 MOS OBT GDS MONEY $100 MORE"
"28548","DRUGS-POSSESS POSSESS"
"28549","METHAMPHETAMINE"
"28550","POSSESSION OF WEAPON OR AMMO BY"
"28551","CONVICTED FLORIDA FELON"
"28552","ALTER IDENTIFICATION ON WEAP REMOVE"
"28553","SERIAL NUMBER FROM FIREARM"
"28554","DANGEROUS DRUGS KEEP SHOP OR VEHICLE"
"28555","ETC FOR DRUGS 1ST VIOL"
"28556","NEGLECT CHILD WITHOUT GREAT BODILY"
"28557","HARM"
"28558","NARCOTIC EQUIP-POSSESS AND OR USE"
"28559","HOLD FOR DOC/NWFRC ANNEX"
"28560","FRAUD-SWINDLE DEFRAUD FINANCIAL"
"28561","INSTITUTION"
"28562","GRAND THEFT IS $300 OR MORE BUT LESS"
"28563","THAN $5000"
"28564","FORGERY OF ALTER PUBLIC RECORD"
"28565","CERTIFICATE ETC"
"28566","FRAUD UTTER FALSE INSTRUMENT"
"28567","VOP/CHILD NEGLECT"
"28568","VOP/POSSESSION OF COCAINE"
"28569","MARIJUANA-POSSESS WITH INTENT TO SELL"
"28570","MFG OR DELIVER SCHEDULE I"
"28571","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"28572","WITHOUT PRESCRIPTION"
"28573","ROBBERY NO FIREARM OR WEAPON"
"28574","PETIT THEFT 1ST OFF"
"28575","VOP/DRIVING UNDER THE INFLUENCE"
"28576","VOP/UNLAWFUL USE OF COMPUTER SERVICE"
"28577","VOP/ARMED ROBBERY WITH FIREARM"
"28578","VOP/AGGRAVATED BATTERY WITH FIREARM"
"28579","BURGL UNOCCUPIED DWELLING UNARMED"
"28580","PETIT THEFT 1ST DEGREE PROPERTY 100 TO"
"28581","UND 300 DOLS"
"28582","SYNTH NARCOTIC-SELL SCHEDULE I OR II"
"28583","COCAINE-POSSESS WITH INTENT TO SELL"
"28584","MFG DELIV ETC SCHEDULE II"
"28585","SYNTH NARCOTIC-POSSESS WIT SELL MFG"
"28586","OR DELIVER SCHEDULE I OR II"
"28587","POSSESSION OF WEAPON OR AMMO BY"
"28588","CONVICTED FLORIDA FELON"
"28589","GRAND THEFT OF FIREARM"
"28590","DANGEROUS DRUGS KEEP SHOP OR VEHICLE"
"28591","ETC FOR DRUGS 1ST VIOL"
"28592","NARCOTIC EQUIP-POSSESS AND OR USE"
"28593","SYNTH NARCOTIC-SELL SCHEDULE I OR II"
"28594","COCAINE-POSSESS WITH INTENT TO SELL"
"28595","MFG DELIV ETC SCHEDULE II"
"28596","SYNTH NARCOTIC-POSSESS WIT SELL MFG"
"28597","OR DELIVER SCHEDULE I OR II"
"28598","POSSESSION OF WEAPON OR AMMO BY"
"28599","CONVICTED FLORIDA FELON"
"28600","GRAND THEFT OF FIREARM"
"28601","DANGEROUS DRUGS KEEP SHOP OR VEHICLE"
"28602","ETC FOR DRUGS 1ST VIOL"
"28603","NARCOTIC EQUIP-POSSESS AND OR USE"
"28604","FTA/POSSESSION OF CANNABIS"
"28605","FTA/FAILURE TO REDELIVER LEASED"
"28606","PROPERTY"
"28607","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"28608","VOP/TAMPERING WITH A WITNESS OR"
"28609","INFORMANT"
"28610","AGGRAV BATTERY PERSON USES A DEADLY"
"28611","WEAPON"
"28612","BATTERY TOUCH OR STRIKE"
"28613","TRESPASSING PROPERTY NOT STRUCTURE"
"28614","OR CONVEY"
"28615","DOMV/ATTEMPTED/HOMICIDE-WILFUL KILL"
"28616","MURDER NOT PREMEDITATED NO FELONY"
"28617","OFFENSE"
"28618","VOP/BURGLARY OF CONVEYANCE"
"28619","VOP/CRIMINAL USE OF PERSONAL"
"28620","IDENTIFICATION INFORMATION"
"28621","VOP/TAMPERING WITH PHYSICAL EVIDENCE"
"28622","VOP/POSSESSION OF ALPRAZOLAM"
"28623","COCAINE-POSSESS POSSESS COCAINE"
"28624","MARIJUANA-POSSESS NOT MORE THAN 20"
"28625","GRAMS"
"28626","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28627","SUSP 3RD OR SUBSQ OFF"
"28628","FTA/DRIVING WHILE LICENSE SUSPENDED"
"28629","OR REVOKED"
"28630","BATTERY 2ND OR SUBSQ OFF"
"28631","KIDNAP HUM TRAF COM SEX LT 18 YOA"
"28632","MENT DEF MENT INCAP"
"28633","SEX ASSAULT BY 24 YOA OLDER SEX BATT"
"28634","VICTIM 16 OR 17 YOA"
"28635","CRUELTY TOWARD CHILD DIRECT PROMOTE"
"28636","SEXUAL PERFORMANCE BY CHILD"
"28637","FTA/ASSAULT"
"28638","FTA/CRIMINAL MISCHIEF (UNDER $200"
"28639","DAMAGES)"
"28640","FTA/TRESPASS IN STRUCTURE"
"28641","STOLEN PROP-DEAL IN"
"28642","SEX ASSAULT VICT OVR 12 YOA PHYSICAL"
"28643","FORCE NO DMG"
"28644","GRAND THEFT IS $300 OR MORE BUT LESS"
"28645","THAN $5000"
"28646","FTA/ATTACHING IMPROPER LICENSE PLATE"
"28647","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28648","SUSP 3RD OR SUBSQ OFF"
"28649","VOP/FTA/FELONY BATTERY"
"28650","HOLD FOR DOC/BAY CF"
"28651","GRAND THEFT IS $300 OR MORE BUT LESS"
"28652","THAN $5000"
"28653","CONTEMPT OF COURT VIOLATION"
"28654","INJUNCTION PROTECTION DOMESTIC"
"28655","VIOLENCE"
"28656","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"28657","FTA/DRIVING WHILE LICENSE SUSPENDED"
"28658","OR REVOKED"
"28659","COCAINE-TRAFFIC 28 GRAMS LESS THAN 150"
"28660","KG COCAINE OR MIXTURE"
"28661","COCAINE-SELL WI 1000FT WORSHIP OR
BUSN, SCH II"
"28662","MARIJUANA-POSSESS NOT MORE THAN 20"
"28663","GRAMS"
"28664","NARCOTIC EQUIP-POSSESS AND OR USE"
"28665","DANGEROUS DRUGS KEEP SHOP OR VEHICLE"
"28666","ETC FOR DRUGS 1ST VIOL"
"28667","GRAND THEFT OF  MOTOR VEHICLE"
"28668","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"28669","WITHOUT PRESCRIPTION"
"28670","STOLEN PROP-DEAL IN"
"28671","FRAUD FALSE OWNER INFO PAWNED ITEMS"
"28672","LESS THAN $300"
"28673","GRAND THEFT IS $300 OR MORE BUT LESS"
"28674","THAN $5000"
"28675","FRAUD-SWINDLE OBTAIN PROPERTY UNDER"
"28676","20000 DOLLARS"
"28677","HOLD FOR DOC/ ACI EAST UNTIL 09/15/18"
"28678","EOS"
"28679","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"28680","JUSTICE OHIO/ UNION CO SHERIFF"
"28681","PETIT THEFT 1ST OFF"
"28682","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"28683","JUSTICE/HOLD FOR US MARSHALSWARRANT"
"28684","OUT OF MACON, GEORGIA"
"28685","VOP/DEALING IN STOLEN PROPERTY"
"28686","VOP/GRAND THEFT"
"28687","MOVING TRAFFIC VIOL DRIVE WITH"
"28688","SUSPENDED REVOKED LICENSE"
"28689","NARCOTIC EQUIP-POSSESS AND OR USE"
"28690","OUT-OF-COUNTY WARRANT/ESCAMBIA"
"28691","COUNTY SO/VOP-POSS OF MARIJUANA OVER"
"28692","20 GRAMS/CASE #172828CIR"
"28693","OUT-OF-COUNTY WARRANT / GADSEN"
"28694","COUNTY SO / CASE#12-48CFMA"
"28695","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"28696","FTA/BATTERY"
"28697","BURGL UNOCCUPIED DWELLING UNARMED"
"28698","GRAND THEFT 3RD DEGREE DWEL PROP 100"
"28699","TO UND 300 DOLS"
"28700","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28701","SUSP 3RD OR SUBSQ OFF"
"28702","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"28703","WITHOUT PRESCRIPTION"
"28704","NARCOTIC EQUIP-POSSESS AND OR USE"
"28705","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"28706","SUSP 1ST OFF"
"28707","USE/POSS ID OF ANOTHER PERSON WO"
"28708","CONSENT"
"28709","POSSESSION OF WEAPON OR AMMO BY"
"28710","CONVICTED FLORIDA FELON"
"28711","TRESPASSING PROPERTY NOT STRUCTURE"
"28712","OR CONVEY"
"28713","DOMV/AGGRAV ASSAULT  W DEADLY"
